region_1,region_2,technology_1,technology_2,parameter,value
FI,FI,electrolysis,,capaConvResi,11.36
FR,FR,electrolysis,,capaConvResi,44.95
GR,GR,electrolysis,,capaConvResi,9.87
HR,HR,electrolysis,,capaConvResi,4.22
HU,HU,electrolysis,,capaConvResi,9.45
IE,IE,electrolysis,,capaConvResi,6.21
IT,IT,electrolysis,,capaConvResi,47.59
LT,LT,electrolysis,,capaConvResi,4.06
LU,LU,electrolysis,,capaConvResi,0.25
LV,LV,electrolysis,,capaConvResi,2.69
NL,NL,electrolysis,,capaConvResi,14.66
NO,NO,electrolysis,,capaConvResi,31.21
NONEU_Balkan,NONEU_Balkan,electrolysis,,capaConvResi,20.26
PL,PL,electrolysis,,capaConvResi,32.24
PT,PT,electrolysis,,capaConvResi,7.84
RO,RO,electrolysis,,capaConvResi,31.63
SE,SE,electrolysis,,capaConvResi,12.94
SI,SI,electrolysis,,capaConvResi,2.06
SK,SK,electrolysis,,capaConvResi,0.0
TR,TR,electrolysis,,capaConvResi,46.77
UK,UK,electrolysis,,capaConvResi,71.75
AT,AT,wind_offshore,offshore_a,capaConvResi,0.0
BE,BE,wind_offshore,offshore_a,capaConvResi,9.1
BG,BG,wind_offshore,offshore_a,capaConvResi,6.96
CH,CH,wind_offshore,offshore_a,capaConvResi,0.0
CZ,CZ,wind_offshore,offshore_a,capaConvResi,0.0
DK,DK,wind_offshore,offshore_a,capaConvResi,34.94
EE,EE,wind_offshore,offshore_a,capaConvResi,3.62
ES,ES,wind_offshore,offshore_a,capaConvResi,55.0
FI,FI,wind_offshore,offshore_a,capaConvResi,32.06
FR,FR,wind_offshore,offshore_a,capaConvResi,133.69
GR,GR,wind_offshore,offshore_a,capaConvResi,5.78
HR,HR,wind_offshore,offshore_a,capaConvResi,24.71
HU,HU,wind_offshore,offshore_a,capaConvResi,0.0
IE,IE,wind_offshore,offshore_a,capaConvResi,15.23
IT,IT,wind_offshore,offshore_a,capaConvResi,77.7
LT,LT,wind_offshore,offshore_a,capaConvResi,9.19
LU,LU,wind_offshore,offshore_a,capaConvResi,0.0
LV,LV,wind_offshore,offshore_a,capaConvResi,1.98
NL,NL,wind_offshore,offshore_a,capaConvResi,57.1
NO,NO,wind_offshore,offshore_a,capaConvResi,57.08
NONEU_Balkan,NONEU_Balkan,wind_offshore,offshore_a,capaConvResi,5.5
PL,PL,wind_offshore,offshore_a,capaConvResi,40.7
PT,PT,wind_offshore,offshore_a,capaConvResi,7.9
RO,RO,wind_offshore,offshore_a,capaConvResi,24.3
SE,SE,wind_offshore,offshore_a,capaConvResi,50.01
SI,SI,wind_offshore,offshore_a,capaConvResi,0.3
SK,SK,wind_offshore,offshore_a,capaConvResi,0.0
TR,TR,wind_offshore,offshore_a,capaConvResi,30.0
UK,UK,wind_offshore,offshore_a,capaConvResi,99.0
AT,AT,wind_offshore,offshore_b,capaConvResi,0.0
BE,BE,wind_offshore,offshore_b,capaConvResi,0.0
BG,BG,wind_offshore,offshore_b,capaConvResi,0.0
CH,CH,wind_offshore,offshore_b,capaConvResi,0.0
CZ,CZ,wind_offshore,offshore_b,capaConvResi,0.0
DK,DK,wind_offshore,offshore_b,capaConvResi,0.0
EE,EE,wind_offshore,offshore_b,capaConvResi,0.0
ES,ES,wind_offshore,offshore_b,capaConvResi,0.0
FI,FI,wind_offshore,offshore_b,capaConvResi,0.0
FR,FR,wind_offshore,offshore_b,capaConvResi,0.0
GR,GR,wind_offshore,offshore_b,capaConvResi,0.0
HR,HR,wind_offshore,offshore_b,capaConvResi,0.0
HU,HU,wind_offshore,offshore_b,capaConvResi,0.0
IE,IE,wind_offshore,offshore_b,capaConvResi,0.0
IT,IT,wind_offshore,offshore_b,capaConvResi,0.0
LT,LT,wind_offshore,offshore_b,capaConvResi,0.0
LU,LU,wind_offshore,offshore_b,capaConvResi,0.0
LV,LV,wind_offshore,offshore_b,capaConvResi,0.0
NL,NL,wind_offshore,offshore_b,capaConvResi,0.0
NO,NO,wind_offshore,offshore_b,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,wind_offshore,offshore_b,capaConvResi,0.0
PL,PL,wind_offshore,offshore_b,capaConvResi,0.0
PT,PT,wind_offshore,offshore_b,capaConvResi,0.0
RO,RO,wind_offshore,offshore_b,capaConvResi,0.0
SE,SE,wind_offshore,offshore_b,capaConvResi,0.0
SI,SI,wind_offshore,offshore_b,capaConvResi,0.0
SK,SK,wind_offshore,offshore_b,capaConvResi,0.0
TR,TR,wind_offshore,offshore_b,capaConvResi,0.0
UK,UK,wind_offshore,offshore_b,capaConvResi,0.0
AT,AT,rooftop,rooftop_c,capaConvResi,8.62
BE,BE,rooftop,rooftop_c,capaConvResi,6.34
BG,BG,rooftop,rooftop_c,capaConvResi,11.64
CH,CH,rooftop,rooftop_c,capaConvResi,5.49
CZ,CZ,rooftop,rooftop_c,capaConvResi,13.55
DK,DK,rooftop,rooftop_c,capaConvResi,0.0
EE,EE,rooftop,rooftop_c,capaConvResi,0.0
ES,ES,rooftop,rooftop_c,capaConvResi,63.41
FI,FI,rooftop,rooftop_c,capaConvResi,0.0
FR,FR,rooftop,rooftop_c,capaConvResi,73.46
GR,GR,rooftop,rooftop_c,capaConvResi,18.02
HR,HR,rooftop,rooftop_c,capaConvResi,3.9
HU,HU,rooftop,rooftop_c,capaConvResi,12.96
IE,IE,rooftop,rooftop_c,capaConvResi,0.0
IT,IT,rooftop,rooftop_c,capaConvResi,46.75
LT,LT,rooftop,rooftop_c,capaConvResi,0.0
LU,LU,rooftop,rooftop_c,capaConvResi,0.39
LV,LV,rooftop,rooftop_c,capaConvResi,0.0
NL,NL,rooftop,rooftop_c,capaConvResi,9.05
NO,NO,rooftop,rooftop_c,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,rooftop,rooftop_c,capaConvResi,24.59
PL,PL,rooftop,rooftop_c,capaConvResi,39.38
PT,PT,rooftop,rooftop_c,capaConvResi,10.08
RO,RO,rooftop,rooftop_c,capaConvResi,33.04
SE,SE,rooftop,rooftop_c,capaConvResi,0.0
SI,SI,rooftop,rooftop_c,capaConvResi,1.59
SK,SK,rooftop,rooftop_c,capaConvResi,5.57
TR,TR,rooftop,rooftop_c,capaConvResi,14.11
UK,UK,rooftop,rooftop_c,capaConvResi,0.0
AT,AT,openspace,openspace_a,capaConvResi,15.05
BE,BE,openspace,openspace_a,capaConvResi,14.6
BG,BG,openspace,openspace_a,capaConvResi,8.44
CH,CH,openspace,openspace_a,capaConvResi,9.35
CZ,CZ,openspace,openspace_a,capaConvResi,19.0
DK,DK,openspace,openspace_a,capaConvResi,8.69
EE,EE,openspace,openspace_a,capaConvResi,1.3
ES,ES,openspace,openspace_a,capaConvResi,118.5
FI,FI,openspace,openspace_a,capaConvResi,13.0
FR,FR,openspace,openspace_a,capaConvResi,114.2
GR,GR,openspace,openspace_a,capaConvResi,39.0
HR,HR,openspace,openspace_a,capaConvResi,5.85
HU,HU,openspace,openspace_a,capaConvResi,11.65
IE,IE,openspace,openspace_a,capaConvResi,8.15
IT,IT,openspace,openspace_a,capaConvResi,74.09
LT,LT,openspace,openspace_a,capaConvResi,15.0
LU,LU,openspace,openspace_a,capaConvResi,1.05
LV,LV,openspace,openspace_a,capaConvResi,12.0
NL,NL,openspace,openspace_a,capaConvResi,18.05
NO,NO,openspace,openspace_a,capaConvResi,6.0
NONEU_Balkan,NONEU_Balkan,openspace,openspace_a,capaConvResi,43.8
PL,PL,openspace,openspace_a,capaConvResi,75.0
PT,PT,openspace,openspace_a,capaConvResi,12.55
RO,RO,openspace,openspace_a,capaConvResi,63.0
SE,SE,openspace,openspace_a,capaConvResi,21.45
SI,SI,openspace,openspace_a,capaConvResi,2.85
SK,SK,openspace,openspace_a,capaConvResi,8.8
TR,TR,openspace,openspace_a,capaConvResi,220.45
UK,UK,openspace,openspace_a,capaConvResi,76.5
AT,AT,wind_onshore,onshore_a,capaConvResi,8.35
BE,BE,wind_onshore,onshore_a,capaConvResi,7.01
BG,BG,wind_onshore,onshore_a,capaConvResi,0.0
CH,CH,wind_onshore,onshore_a,capaConvResi,0.0
CZ,CZ,wind_onshore,onshore_a,capaConvResi,0.0
DK,DK,wind_onshore,onshore_a,capaConvResi,0.0
EE,EE,wind_onshore,onshore_a,capaConvResi,0.0
ES,ES,wind_onshore,onshore_a,capaConvResi,6.38
FI,FI,wind_onshore,onshore_a,capaConvResi,0.0
FR,FR,wind_onshore,onshore_a,capaConvResi,0.0
GR,GR,wind_onshore,onshore_a,capaConvResi,0.0
HR,HR,wind_onshore,onshore_a,capaConvResi,0.0
HU,HU,wind_onshore,onshore_a,capaConvResi,0.0
IE,IE,wind_onshore,onshore_a,capaConvResi,0.0
IT,IT,wind_onshore,onshore_a,capaConvResi,0.0
LT,LT,wind_onshore,onshore_a,capaConvResi,0.0
LU,LU,wind_onshore,onshore_a,capaConvResi,0.0
LV,LV,wind_onshore,onshore_a,capaConvResi,0.0
NL,NL,wind_onshore,onshore_a,capaConvResi,0.0
NO,NO,wind_onshore,onshore_a,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,wind_onshore,onshore_a,capaConvResi,0.0
PL,PL,wind_onshore,onshore_a,capaConvResi,0.0
PT,PT,wind_onshore,onshore_a,capaConvResi,6.87
RO,RO,wind_onshore,onshore_a,capaConvResi,0.0
SE,SE,wind_onshore,onshore_a,capaConvResi,0.0
SI,SI,wind_onshore,onshore_a,capaConvResi,0.0
SK,SK,wind_onshore,onshore_a,capaConvResi,0.0
TR,TR,wind_onshore,onshore_a,capaConvResi,0.0
UK,UK,wind_onshore,onshore_a,capaConvResi,137.5
AT,AT,battery,home,capaStOutResi,0.0
BE,BE,battery,home,capaStOutResi,0.0
BG,BG,battery,home,capaStOutResi,0.0
CH,CH,battery,home,capaStOutResi,0.0
CZ,CZ,battery,home,capaStOutResi,0.0
DK,DK,battery,home,capaStOutResi,0.0
EE,EE,battery,home,capaStOutResi,0.0
ES,ES,battery,home,capaStOutResi,0.0
FI,FI,battery,home,capaStOutResi,0.0
FR,FR,battery,home,capaStOutResi,0.0
GR,GR,battery,home,capaStOutResi,0.0
HR,HR,battery,home,capaStOutResi,0.0
HU,HU,battery,home,capaStOutResi,0.0
IE,IE,battery,home,capaStOutResi,0.0
IT,IT,battery,home,capaStOutResi,0.0
LT,LT,battery,home,capaStOutResi,0.0
LU,LU,battery,home,capaStOutResi,0.0
LV,LV,battery,home,capaStOutResi,0.0
NL,NL,battery,home,capaStOutResi,0.0
NO,NO,battery,home,capaStOutResi,0.0
NONEU_Balkan,NONEU_Balkan,battery,home,capaStOutResi,0.0
PL,PL,battery,home,capaStOutResi,0.0
PT,PT,battery,home,capaStOutResi,0.0
RO,RO,battery,home,capaStOutResi,0.0
SE,SE,battery,home,capaStOutResi,0.0
SI,SI,battery,home,capaStOutResi,0.0
SK,SK,battery,home,capaStOutResi,0.0
TR,TR,battery,home,capaStOutResi,0.0
UK,UK,battery,home,capaStOutResi,0.0
AT,AT,battery,home,capaStSizeResi,0.0
BE,BE,battery,home,capaStSizeResi,0.0
BG,BG,battery,home,capaStSizeResi,0.0
CH,CH,battery,home,capaStSizeResi,0.0
CZ,CZ,battery,home,capaStSizeResi,0.0
DK,DK,battery,home,capaStSizeResi,0.0
EE,EE,battery,home,capaStSizeResi,0.0
ES,ES,battery,home,capaStSizeResi,0.0
FI,FI,battery,home,capaStSizeResi,0.0
FR,FR,battery,home,capaStSizeResi,0.0
GR,GR,battery,home,capaStSizeResi,0.0
HR,HR,battery,home,capaStSizeResi,0.0
HU,HU,battery,home,capaStSizeResi,0.0
IE,IE,battery,home,capaStSizeResi,0.0
IT,IT,battery,home,capaStSizeResi,0.0
LT,LT,battery,home,capaStSizeResi,0.0
LU,LU,battery,home,capaStSizeResi,0.0
LV,LV,battery,home,capaStSizeResi,0.0
NL,NL,battery,home,capaStSizeResi,0.0
NO,NO,battery,home,capaStSizeResi,0.0
NONEU_Balkan,NONEU_Balkan,battery,home,capaStSizeResi,0.0
PL,PL,battery,home,capaStSizeResi,0.0
PT,PT,battery,home,capaStSizeResi,0.0
RO,RO,battery,home,capaStSizeResi,0.0
SE,SE,battery,home,capaStSizeResi,0.0
SI,SI,battery,home,capaStSizeResi,0.0
SK,SK,battery,home,capaStSizeResi,0.0
TR,TR,battery,home,capaStSizeResi,0.0
UK,UK,battery,home,capaStSizeResi,0.0
AT,AT,battery,home,capaStInResi,0.0
BE,BE,battery,home,capaStInResi,0.0
BG,BG,battery,home,capaStInResi,0.0
CH,CH,battery,home,capaStInResi,0.0
CZ,CZ,battery,home,capaStInResi,0.0
DK,DK,battery,home,capaStInResi,0.0
EE,EE,battery,home,capaStInResi,0.0
ES,ES,battery,home,capaStInResi,0.0
FI,FI,battery,home,capaStInResi,0.0
FR,FR,battery,home,capaStInResi,0.0
GR,GR,battery,home,capaStInResi,0.0
HR,HR,battery,home,capaStInResi,0.0
HU,HU,battery,home,capaStInResi,0.0
IE,IE,battery,home,capaStInResi,0.0
IT,IT,battery,home,capaStInResi,0.0
LT,LT,battery,home,capaStInResi,0.0
LU,LU,battery,home,capaStInResi,0.0
LV,LV,battery,home,capaStInResi,0.0
NL,NL,battery,home,capaStInResi,0.0
NO,NO,battery,home,capaStInResi,0.0
NONEU_Balkan,NONEU_Balkan,battery,home,capaStInResi,0.0
PL,PL,battery,home,capaStInResi,0.0
PT,PT,battery,home,capaStInResi,0.0
RO,RO,battery,home,capaStInResi,0.0
SE,SE,battery,home,capaStInResi,0.0
SI,SI,battery,home,capaStInResi,0.0
SK,SK,battery,home,capaStInResi,0.0
TR,TR,battery,home,capaStInResi,0.0
UK,UK,battery,home,capaStInResi,0.0
AT,AT,methanation,,capaConvResi,0.0
BE,BE,methanation,,capaConvResi,0.49
BG,BG,methanation,,capaConvResi,0.0
CH,CH,methanation,,capaConvResi,0.0
CZ,CZ,methanation,,capaConvResi,0.0
DK,DK,methanation,,capaConvResi,0.0
EE,EE,methanation,,capaConvResi,0.0
ES,ES,methanation,,capaConvResi,1.46
FI,FI,methanation,,capaConvResi,0.0
FR,FR,methanation,,capaConvResi,2.82
GR,GR,methanation,,capaConvResi,0.0
HR,HR,methanation,,capaConvResi,0.0
HU,HU,methanation,,capaConvResi,0.16
IE,IE,methanation,,capaConvResi,0.0
IT,IT,methanation,,capaConvResi,3.15
LT,LT,methanation,,capaConvResi,0.0
LU,LU,methanation,,capaConvResi,0.08
LV,LV,methanation,,capaConvResi,0.0
NL,NL,methanation,,capaConvResi,2.1
NO,NO,methanation,,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,methanation,,capaConvResi,1.92
PL,PL,methanation,,capaConvResi,0.0
PT,PT,methanation,,capaConvResi,0.0
RO,RO,methanation,,capaConvResi,1.58
SE,SE,methanation,,capaConvResi,0.0
SI,SI,methanation,,capaConvResi,0.0
SK,SK,methanation,,capaConvResi,1.48
TR,TR,methanation,,capaConvResi,0.0
UK,UK,methanation,,capaConvResi,0.66
AT,AT,ocgtHydrogen,,capaConvResi,7.02
BE,BE,ocgtHydrogen,,capaConvResi,17.64
BG,BG,ocgtHydrogen,,capaConvResi,7.5
CH,CH,ocgtHydrogen,,capaConvResi,0.0
CZ,CZ,ocgtHydrogen,,capaConvResi,21.42
DK,DK,ocgtHydrogen,,capaConvResi,10.02
EE,EE,ocgtHydrogen,,capaConvResi,2.11
ES,ES,ocgtHydrogen,,capaConvResi,29.8
FI,FI,ocgtHydrogen,,capaConvResi,20.2
FR,FR,ocgtHydrogen,,capaConvResi,132.04
GR,GR,ocgtHydrogen,,capaConvResi,19.0
HR,HR,ocgtHydrogen,,capaConvResi,6.7
HU,HU,ocgtHydrogen,,capaConvResi,5.26
IE,IE,ocgtHydrogen,,capaConvResi,8.11
IT,IT,ocgtHydrogen,,capaConvResi,47.17
LT,LT,ocgtHydrogen,,capaConvResi,5.01
LU,LU,ocgtHydrogen,,capaConvResi,0.0
LV,LV,ocgtHydrogen,,capaConvResi,1.7
NL,NL,ocgtHydrogen,,capaConvResi,43.04
NO,NO,ocgtHydrogen,,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,ocgtHydrogen,,capaConvResi,2.6
PL,PL,ocgtHydrogen,,capaConvResi,40.44
PT,PT,ocgtHydrogen,,capaConvResi,5.96
RO,RO,ocgtHydrogen,,capaConvResi,0.0
SE,SE,ocgtHydrogen,,capaConvResi,18.49
SI,SI,ocgtHydrogen,,capaConvResi,0.35
SK,SK,ocgtHydrogen,,capaConvResi,8.38
TR,TR,ocgtHydrogen,,capaConvResi,67.74
UK,UK,ocgtHydrogen,,capaConvResi,70.28
AT,AT,gasPlant,,capaConvResi,0.0
BE,BE,gasPlant,,capaConvResi,0.0
BG,BG,gasPlant,,capaConvResi,1.04
CH,CH,gasPlant,,capaConvResi,0.0
CZ,CZ,gasPlant,,capaConvResi,0.0
DK,DK,gasPlant,,capaConvResi,0.0
EE,EE,gasPlant,,capaConvResi,0.39
ES,ES,gasPlant,,capaConvResi,0.0
FI,FI,gasPlant,,capaConvResi,1.67
FR,FR,gasPlant,,capaConvResi,0.0
GR,GR,gasPlant,,capaConvResi,0.76
HR,HR,gasPlant,,capaConvResi,0.0
HU,HU,gasPlant,,capaConvResi,0.0
IE,IE,gasPlant,,capaConvResi,0.0
IT,IT,gasPlant,,capaConvResi,0.0
LT,LT,gasPlant,,capaConvResi,0.26
LU,LU,gasPlant,,capaConvResi,0.0
LV,LV,gasPlant,,capaConvResi,0.3
NL,NL,gasPlant,,capaConvResi,0.0
NO,NO,gasPlant,,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,gasPlant,,capaConvResi,0.0
PL,PL,gasPlant,,capaConvResi,0.0
PT,PT,gasPlant,,capaConvResi,0.0
RO,RO,gasPlant,,capaConvResi,0.0
SE,SE,gasPlant,,capaConvResi,0.0
SI,SI,gasPlant,,capaConvResi,0.0
SK,SK,gasPlant,,capaConvResi,0.0
TR,TR,gasPlant,,capaConvResi,3.41
UK,UK,gasPlant,,capaConvResi,0.0
AT,AT,wind_onshore,onshore_b,capaConvResi,0.0
BE,BE,wind_onshore,onshore_b,capaConvResi,0.0
BG,BG,wind_onshore,onshore_b,capaConvResi,0.0
CH,CH,wind_onshore,onshore_b,capaConvResi,0.0
CZ,CZ,wind_onshore,onshore_b,capaConvResi,0.0
DK,DK,wind_onshore,onshore_b,capaConvResi,0.0
EE,EE,wind_onshore,onshore_b,capaConvResi,0.0
ES,ES,wind_onshore,onshore_b,capaConvResi,0.0
FI,FI,wind_onshore,onshore_b,capaConvResi,0.0
FR,FR,wind_onshore,onshore_b,capaConvResi,0.0
GR,GR,wind_onshore,onshore_b,capaConvResi,0.0
HR,HR,wind_onshore,onshore_b,capaConvResi,0.0
HU,HU,wind_onshore,onshore_b,capaConvResi,0.0
IE,IE,wind_onshore,onshore_b,capaConvResi,0.0
IT,IT,wind_onshore,onshore_b,capaConvResi,0.0
LT,LT,wind_onshore,onshore_b,capaConvResi,0.0
LU,LU,wind_onshore,onshore_b,capaConvResi,0.0
LV,LV,wind_onshore,onshore_b,capaConvResi,0.0
NL,NL,wind_onshore,onshore_b,capaConvResi,0.0
NO,NO,wind_onshore,onshore_b,capaConvResi,0.0
NONEU_Balkan,NONEU_Balkan,wind_onshore,onshore_b,capaConvResi,0.0
PL,PL,wind_onshore,onshore_b,capaConvResi,0.0
PT,PT,wind_onshore,onshore_b,capaConvResi,0.0
RO,RO,wind_onshore,onshore_b,capaConvResi,0.0
SE,SE,wind_onshore,onshore_b,capaConvResi,0.0
SI,SI,wind_onshore,onshore_b,capaConvResi,0.0
SK,SK,wind_onshore,onshore_b,capaConvResi,0.0
TR,TR,wind_onshore,onshore_b,capaConvResi,0.0
UK,UK,wind_onshore,onshore_b,capaConvResi,0.0
AT,AT,openspace,openspace_b,capaConvResi,15.05
BE,BE,openspace,openspace_b,capaConvResi,14.6
BG,BG,openspace,openspace_b,capaConvResi,8.44
CH,CH,openspace,openspace_b,capaConvResi,9.35
CZ,CZ,openspace,openspace_b,capaConvResi,19.0
DK,DK,openspace,openspace_b,capaConvResi,8.69
EE,EE,openspace,openspace_b,capaConvResi,1.3
ES,ES,openspace,openspace_b,capaConvResi,118.5
FI,FI,openspace,openspace_b,capaConvResi,13.0
FR,FR,openspace,openspace_b,capaConvResi,114.2
GR,GR,openspace,openspace_b,capaConvResi,39.0
HR,HR,openspace,openspace_b,capaConvResi,5.85
HU,HU,openspace,openspace_b,capaConvResi,11.65
IE,IE,openspace,openspace_b,capaConvResi,8.15
IT,IT,openspace,openspace_b,capaConvResi,74.09
LT,LT,openspace,openspace_b,capaConvResi,15.0
LU,LU,openspace,openspace_b,capaConvResi,1.05
LV,LV,openspace,openspace_b,capaConvResi,8.64
NL,NL,openspace,openspace_b,capaConvResi,18.05
NO,NO,openspace,openspace_b,capaConvResi,6.0
NONEU_Balkan,NONEU_Balkan,openspace,openspace_b,capaConvResi,43.8
PL,PL,openspace,openspace_b,capaConvResi,75.0
PT,PT,openspace,openspace_b,capaConvResi,12.55
RO,RO,openspace,openspace_b,capaConvResi,63.0
SE,SE,openspace,openspace_b,capaConvResi,21.45
SI,SI,openspace,openspace_b,capaConvResi,2.85
SK,SK,openspace,openspace_b,capaConvResi,8.8
TR,TR,openspace,openspace_b,capaConvResi,220.45
UK,UK,openspace,openspace_b,capaConvResi,76.5
