region_1,region_2,technology_1,technology_2,technology_3,parameter,value
SI,SI,ror,,,capaConvResi,1.02
SK,SK,ror,,,capaConvResi,1.55
TR,TR,ror,,,capaConvResi,6.8
UK,UK,ror,,,capaConvResi,0.94
AT,AT,gasStorage,,,capaStOutResi,3.21
BE,BE,gasStorage,,,capaStOutResi,7.07
BG,BG,gasStorage,,,capaStOutResi,6.27
CZ,CZ,gasStorage,,,capaStOutResi,15.95
DK,DK,gasStorage,,,capaStOutResi,8.1
ES,ES,gasStorage,,,capaStOutResi,11.86
FR,FR,gasStorage,,,capaStOutResi,107.31
GR,GR,gasStorage,,,capaStOutResi,1.84
HR,HR,gasStorage,,,capaStOutResi,3.43
HU,HU,gasStorage,,,capaStOutResi,10.22
IT,IT,gasStorage,,,capaStOutResi,34.63
LV,LV,gasStorage,,,capaStOutResi,12.48
NL,NL,gasStorage,,,capaStOutResi,41.5
PL,PL,gasStorage,,,capaStOutResi,30.16
PT,PT,gasStorage,,,capaStOutResi,3.29
RO,RO,gasStorage,,,capaStOutResi,17.6
SE,SE,gasStorage,,,capaStOutResi,0.48
SK,SK,gasStorage,,,capaStOutResi,2.4
TR,TR,gasStorage,,,capaStOutResi,38
UK,UK,gasStorage,,,capaStOutResi,68.89
AT,AT,gasStorage,,,capaStSizeResi,8968.49
BE,BE,gasStorage,,,capaStSizeResi,4209.74
BG,BG,gasStorage,,,capaStSizeResi,12645.65
CZ,CZ,gasStorage,,,capaStSizeResi,9021.66
DK,DK,gasStorage,,,capaStSizeResi,3035.12
ES,ES,gasStorage,,,capaStSizeResi,14281.13
FR,FR,gasStorage,,,capaStSizeResi,86174.11
GR,GR,gasStorage,,,capaStSizeResi,3860.5
HR,HR,gasStorage,,,capaStSizeResi,4764.19
HU,HU,gasStorage,,,capaStSizeResi,14542.66
IT,IT,gasStorage,,,capaStSizeResi,49475.45
LV,LV,gasStorage,,,capaStSizeResi,9193.36
NL,NL,gasStorage,,,capaStSizeResi,14373.12
PL,PL,gasStorage,,,capaStSizeResi,22183.45
PT,PT,gasStorage,,,capaStSizeResi,3569.98
RO,RO,gasStorage,,,capaStSizeResi,31194.53
SE,SE,gasStorage,,,capaStSizeResi,97
SK,SK,gasStorage,,,capaStSizeResi,4126.42
TR,TR,gasStorage,,,capaStSizeResi,85790.05
UK,UK,gasStorage,,,capaStSizeResi,44574.71
AT,AT,gasStorage,,,capaStInResi,3.9
BE,BE,gasStorage,,,capaStInResi,1.36
BG,BG,gasStorage,,,capaStInResi,5.23
CZ,CZ,gasStorage,,,capaStInResi,3.14
DK,DK,gasStorage,,,capaStInResi,4.2
ES,ES,gasStorage,,,capaStInResi,10.53
FR,FR,gasStorage,,,capaStInResi,42.18
GR,GR,gasStorage,,,capaStInResi,2.3
HR,HR,gasStorage,,,capaStInResi,2.52
HU,HU,gasStorage,,,capaStInResi,8.12
IT,IT,gasStorage,,,capaStInResi,17.47
LV,LV,gasStorage,,,capaStInResi,7.44
NL,NL,gasStorage,,,capaStInResi,10.57
PL,PL,gasStorage,,,capaStInResi,14.48
PT,PT,gasStorage,,,capaStInResi,1.35
RO,RO,gasStorage,,,capaStInResi,14.67
SE,SE,gasStorage,,,capaStInResi,0.18
SK,SK,gasStorage,,,capaStInResi,1.35
TR,TR,gasStorage,,,capaStInResi,28.5
UK,UK,gasStorage,,,capaStInResi,33.5
AT,AT,electricIndustryHeating,,,capaConvResi,100
BE,BE,electricIndustryHeating,,,capaConvResi,100
BG,BG,electricIndustryHeating,,,capaConvResi,100
CH,CH,electricIndustryHeating,,,capaConvResi,100
CZ,CZ,electricIndustryHeating,,,capaConvResi,100
DK,DK,electricIndustryHeating,,,capaConvResi,100
EE,EE,electricIndustryHeating,,,capaConvResi,100
ES,ES,electricIndustryHeating,,,capaConvResi,100
FI,FI,electricIndustryHeating,,,capaConvResi,100
FR,FR,electricIndustryHeating,,,capaConvResi,100
GR,GR,electricIndustryHeating,,,capaConvResi,100
HR,HR,electricIndustryHeating,,,capaConvResi,100
HU,HU,electricIndustryHeating,,,capaConvResi,100
IE,IE,electricIndustryHeating,,,capaConvResi,100
IT,IT,electricIndustryHeating,,,capaConvResi,100
LT,LT,electricIndustryHeating,,,capaConvResi,100
LU,LU,electricIndustryHeating,,,capaConvResi,100
LV,LV,electricIndustryHeating,,,capaConvResi,100
NL,NL,electricIndustryHeating,,,capaConvResi,100
NO,NO,electricIndustryHeating,,,capaConvResi,100
NONEU_Balkan,NONEU_Balkan,electricIndustryHeating,,,capaConvResi,100
PL,PL,electricIndustryHeating,,,capaConvResi,100
PT,PT,electricIndustryHeating,,,capaConvResi,100
RO,RO,electricIndustryHeating,,,capaConvResi,100
SE,SE,electricIndustryHeating,,,capaConvResi,100
SI,SI,electricIndustryHeating,,,capaConvResi,100
SK,SK,electricIndustryHeating,,,capaConvResi,100
TR,TR,electricIndustryHeating,,,capaConvResi,100
UK,UK,electricIndustryHeating,,,capaConvResi,100
AT,AT,electricMobility,,,capaConvResi,100
BE,BE,electricMobility,,,capaConvResi,100
BG,BG,electricMobility,,,capaConvResi,100
CH,CH,electricMobility,,,capaConvResi,100
CZ,CZ,electricMobility,,,capaConvResi,100
DK,DK,electricMobility,,,capaConvResi,100
EE,EE,electricMobility,,,capaConvResi,100
ES,ES,electricMobility,,,capaConvResi,100
FI,FI,electricMobility,,,capaConvResi,100
FR,FR,electricMobility,,,capaConvResi,100
GR,GR,electricMobility,,,capaConvResi,100
HR,HR,electricMobility,,,capaConvResi,100
HU,HU,electricMobility,,,capaConvResi,100
IE,IE,electricMobility,,,capaConvResi,100
IT,IT,electricMobility,,,capaConvResi,100
LT,LT,electricMobility,,,capaConvResi,100
LU,LU,electricMobility,,,capaConvResi,100
LV,LV,electricMobility,,,capaConvResi,100
NL,NL,electricMobility,,,capaConvResi,100
NO,NO,electricMobility,,,capaConvResi,100
NONEU_Balkan,NONEU_Balkan,electricMobility,,,capaConvResi,100
PL,PL,electricMobility,,,capaConvResi,100
PT,PT,electricMobility,,,capaConvResi,100
RO,RO,electricMobility,,,capaConvResi,100
SE,SE,electricMobility,,,capaConvResi,100
SI,SI,electricMobility,,,capaConvResi,100
SK,SK,electricMobility,,,capaConvResi,100
TR,TR,electricMobility,,,capaConvResi,100
UK,UK,electricMobility,,,capaConvResi,100
