region_1,region_2,region_1,region_2,carrier_1,carrier_2,parameter_1,value_1
GR,GR,TR,TR,electricity,electricity_central,capaExcResiDir,0.66
HR,HR,HU,HU,electricity,electricity_central,capaExcResiDir,2
HR,HR,IT,IT,electricity,electricity_central,capaExcResiDir,0
HR,HR,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1.3
HR,HR,SI,SI,electricity,electricity_central,capaExcResiDir,1.64
HU,HU,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.6
HU,HU,RO,RO,electricity,electricity_central,capaExcResiDir,1.617
HU,HU,SI,SI,electricity,electricity_central,capaExcResiDir,2.4
HU,HU,SK,SK,electricity,electricity_central,capaExcResiDir,2.8
IE,IE,UK,UK,electricity,electricity_central,capaExcResiDir,1.75
IT,IT,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,0.8
IT,IT,SI,SI,electricity,electricity_central,capaExcResiDir,0.68
LT,LT,LV,LV,electricity,electricity_central,capaExcResiDir,1.2
LT,LT,PL,PL,electricity,electricity_central,capaExcResiDir,1
LT,LT,SE,SE,electricity,electricity_central,capaExcResiDir,0.7
LV,LV,SE,SE,electricity,electricity_central,capaExcResiDir,0
NL,NL,NO,NO,electricity,electricity_central,capaExcResiDir,0.7
NL,NL,UK,UK,electricity,electricity_central,capaExcResiDir,1
NO,NO,SE,SE,electricity,electricity_central,capaExcResiDir,3.695
NO,NO,UK,UK,electricity,electricity_central,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,RO,RO,electricity,electricity_central,capaExcResiDir,0.8
PL,PL,SE,SE,electricity,electricity_central,capaExcResiDir,0.6
PL,PL,SK,SK,electricity,electricity_central,capaExcResiDir,0.99
RO,RO,TR,TR,electricity,electricity_central,capaExcResiDir,0
EE,EE,FI,FI,electricity,electricity_central,capaExcResiDir,1.016
EE,EE,LV,LV,electricity,electricity_central,capaExcResiDir,1.5
EE,EE,SE,SE,electricity,electricity_central,capaExcResiDir,0
CH,CH,AT,AT,electricity,electricity_central,capaExcResiDir,1.2
CZ,CZ,AT,AT,electricity,electricity_central,capaExcResiDir,0.8
DE,,AT,,electricity,electricity_central,capaExcResiDir,9
HU,HU,AT,AT,electricity,electricity_central,capaExcResiDir,0.8
IT,IT,AT,AT,electricity,electricity_central,capaExcResiDir,0.535
SI,SI,AT,AT,electricity,electricity_central,capaExcResiDir,1.04
SK,SK,AT,AT,electricity,electricity_central,capaExcResiDir,0
DE,,BE,,electricity,electricity_central,capaExcResiDir,2
FR,FR,BE,BE,electricity,electricity_central,capaExcResiDir,4.8
LU,LU,BE,BE,electricity,electricity_central,capaExcResiDir,0.18
NL,NL,BE,BE,electricity,electricity_central,capaExcResiDir,2.9
NO,NO,BE,BE,electricity,electricity_central,capaExcResiDir,0
UK,UK,BE,BE,electricity,electricity_central,capaExcResiDir,1
GR,GR,BG,BG,electricity,electricity_central,capaExcResiDir,0.64
NONEU_Balkan,NONEU_Balkan,BG,BG,electricity,electricity_central,capaExcResiDir,1.144
RO,RO,BG,BG,electricity,electricity_central,capaExcResiDir,0.3
TR,TR,BG,BG,electricity,electricity_central,capaExcResiDir,0.3
DE,,CH,,electricity,electricity_central,capaExcResiDir,3.5
FR,FR,CH,CH,electricity,electricity_central,capaExcResiDir,3.15
IT,IT,CH,CH,electricity,electricity_central,capaExcResiDir,1.91
DE,,CZ,,electricity,electricity_central,capaExcResiDir,2
PL,PL,CZ,CZ,electricity,electricity_central,capaExcResiDir,0.8
SK,SK,CZ,CZ,electricity,electricity_central,capaExcResiDir,1.1
DK,,DE,,electricity,electricity_central,capaExcResiDir,4.485
FR,,DE,,electricity,electricity_central,capaExcResiDir,1.8
LU,,DE,,electricity,electricity_central,capaExcResiDir,2.3
NL,,DE,,electricity,electricity_central,capaExcResiDir,4.25
NO,,DE,,electricity,electricity_central,capaExcResiDir,1.4
PL,,DE,,electricity,electricity_central,capaExcResiDir,4.5
SE,,DE,,electricity,electricity_central,capaExcResiDir,0.615
UK,,DE,,electricity,electricity_central,capaExcResiDir,0
NL,NL,DK,DK,electricity,electricity_central,capaExcResiDir,0.7
NO,NO,DK,DK,electricity,electricity_central,capaExcResiDir,1.64
PL,PL,DK,DK,electricity,electricity_central,capaExcResiDir,0
SE,SE,DK,DK,electricity,electricity_central,capaExcResiDir,1.98
UK,UK,DK,DK,electricity,electricity_central,capaExcResiDir,0
FR,FR,ES,ES,electricity,electricity_central,capaExcResiDir,5
IT,IT,ES,ES,electricity,electricity_central,capaExcResiDir,0
UK,UK,ES,ES,electricity,electricity_central,capaExcResiDir,0
PT,PT,ES,ES,electricity,electricity_central,capaExcResiDir,4.5
NO,NO,FI,FI,electricity,electricity_central,capaExcResiDir,0
SE,SE,FI,FI,electricity,electricity_central,capaExcResiDir,3.2
IT,IT,FR,FR,electricity,electricity_central,capaExcResiDir,4.31
LU,LU,FR,FR,electricity,electricity_central,capaExcResiDir,0
UK,UK,FR,FR,electricity,electricity_central,capaExcResiDir,2
IT,IT,GR,GR,electricity,electricity_central,capaExcResiDir,0.5
NONEU_Balkan,NONEU_Balkan,GR,GR,electricity,electricity_central,capaExcResiDir,1.1
TR,TR,GR,GR,electricity,electricity_central,capaExcResiDir,0.58
HU,HU,HR,HR,electricity,electricity_central,capaExcResiDir,2
IT,IT,HR,HR,electricity,electricity_central,capaExcResiDir,0
NONEU_Balkan,NONEU_Balkan,HR,HR,electricity,electricity_central,capaExcResiDir,1.35
SI,SI,HR,HR,electricity,electricity_central,capaExcResiDir,1.5
NONEU_Balkan,NONEU_Balkan,HU,HU,electricity,electricity_central,capaExcResiDir,0.6
RO,RO,HU,HU,electricity,electricity_central,capaExcResiDir,1.435
SI,SI,HU,HU,electricity,electricity_central,capaExcResiDir,2.4
SK,SK,HU,HU,electricity,electricity_central,capaExcResiDir,3.3
UK,UK,IE,IE,electricity,electricity_central,capaExcResiDir,1.7
NONEU_Balkan,NONEU_Balkan,IT,IT,electricity,electricity_central,capaExcResiDir,0.8
SI,SI,IT,IT,electricity,electricity_central,capaExcResiDir,0.73
LV,LV,LT,LT,electricity,electricity_central,capaExcResiDir,1.5
PL,PL,LT,LT,electricity,electricity_central,capaExcResiDir,1
SE,SE,LT,LT,electricity,electricity_central,capaExcResiDir,0.7
SE,SE,LV,LV,electricity,electricity_central,capaExcResiDir,0
NO,NO,NL,NL,electricity,electricity_central,capaExcResiDir,0.7
UK,UK,NL,NL,electricity,electricity_central,capaExcResiDir,1
SE,SE,NO,NO,electricity,electricity_central,capaExcResiDir,3.995
UK,UK,NO,NO,electricity,electricity_central,capaExcResiDir,0
RO,RO,NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,capaExcResiDir,1
SE,SE,PL,PL,electricity,electricity_central,capaExcResiDir,0.6
SK,SK,PL,PL,electricity,electricity_central,capaExcResiDir,0.99
TR,TR,RO,RO,electricity,electricity_central,capaExcResiDir,0
FI,FI,EE,EE,electricity,electricity_central,capaExcResiDir,1
LV,LV,EE,EE,electricity,electricity_central,capaExcResiDir,1.5
SE,SE,EE,EE,electricity,electricity_central,capaExcResiDir,0
