technology_1,technology_2,region_1,region_2,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3
caes,,DK,DK,capaStInUp,4.55,,,,
caes,,CH,CH,capaStInUp,0.34,,,,
ror,,AT,AT,capaConvResi,6.01,,,,
ror,,NONEU_Balkan,NONEU_Balkan,capaConvResi,3.62,,,,
ror,,LT,LT,capaConvResi,0.13,,,,
ror,,LV,LV,capaConvResi,1.54,,,,
ror,,NL,NL,capaConvResi,0.04,,,,
ror,,BE,BE,capaConvResi,0.09,,,,
ror,,CZ,CZ,capaConvResi,0.22,,,,
ror,,HU,HU,capaConvResi,0.05,,,,
ror,,SK,SK,capaConvResi,1.55,,,,
ror,,HR,HR,capaConvResi,1.84,,,,
ror,,SI,SI,capaConvResi,1.02,,,,
ror,,BG,BG,capaConvResi,2.27,,,,
ror,,RO,RO,capaConvResi,6.25,,,,
ror,,TR,TR,capaConvResi,6.8,,,,
ror,,FR,FR,capaConvResi,10.33,,,,
ror,,LU,LU,capaConvResi,0.04,,,,
ror,,IE,IE,capaConvResi,0.14,,,,
ror,,UK,UK,capaConvResi,0.94,,,,
ror,,GR,GR,capaConvResi,0.23,,,,
ror,,PT,PT,capaConvResi,6.55,,,,
ror,,ES,ES,capaConvResi,13.63,,,,
ror,,IT,IT,capaConvResi,7.37,,,,
ror,,PL,PL,capaConvResi,0.85,,,,
ror,,NO,NO,capaConvResi,6.3,,,,
ror,,FI,FI,capaConvResi,2.6,,,,
ror,,SE,SE,capaConvResi,11.22,,,,
ror,,CH,CH,capaConvResi,3.85,,,,
electricMobility,,AT,AT,capaConvResi,100,,,,
electricMobility,,BE,BE,capaConvResi,100,,,,
electricMobility,,BG,BG,capaConvResi,100,,,,
electricMobility,,CH,CH,capaConvResi,100,,,,
electricMobility,,CZ,CZ,capaConvResi,100,,,,
electricMobility,,DK,DK,capaConvResi,100,,,,
electricMobility,,ES,ES,capaConvResi,100,,,,
electricMobility,,FI,FI,capaConvResi,100,,,,
electricMobility,,FR,FR,capaConvResi,100,,,,
electricMobility,,GR,GR,capaConvResi,100,,,,
electricMobility,,HR,HR,capaConvResi,100,,,,
electricMobility,,HU,HU,capaConvResi,100,,,,
electricMobility,,IE,IE,capaConvResi,100,,,,
electricMobility,,IT,IT,capaConvResi,100,,,,
electricMobility,,LU,LU,capaConvResi,100,,,,
electricMobility,,NL,NL,capaConvResi,100,,,,
electricMobility,,NO,NO,capaConvResi,100,,,,
electricMobility,,PL,PL,capaConvResi,100,,,,
electricMobility,,PT,PT,capaConvResi,100,,,,
electricMobility,,RO,RO,capaConvResi,100,,,,
electricMobility,,SE,SE,capaConvResi,100,,,,
electricMobility,,SI,SI,capaConvResi,100,,,,
electricMobility,,SK,SK,capaConvResi,100,,,,
electricMobility,,UK,UK,capaConvResi,100,,,,
electricMobility,,EE,EE,capaConvResi,100,,,,
electricMobility,,LT,LT,capaConvResi,100,,,,
electricMobility,,LV,LV,capaConvResi,100,,,,
electricMobility,,NONEU_Balkan,NONEU_Balkan,capaConvResi,100,,,,
electricMobility,,TR,TR,capaConvResi,100,,,,
electricResidentalHeating,,AT,AT,capaConvResi,100,,,,
electricResidentalHeating,,BE,BE,capaConvResi,100,,,,
electricResidentalHeating,,BG,BG,capaConvResi,100,,,,
electricResidentalHeating,,CH,CH,capaConvResi,100,,,,
electricResidentalHeating,,CZ,CZ,capaConvResi,100,,,,
electricResidentalHeating,,DK,DK,capaConvResi,100,,,,
electricResidentalHeating,,ES,ES,capaConvResi,100,,,,
electricResidentalHeating,,FI,FI,capaConvResi,100,,,,
electricResidentalHeating,,FR,FR,capaConvResi,100,,,,
electricResidentalHeating,,GR,GR,capaConvResi,100,,,,
electricResidentalHeating,,HR,HR,capaConvResi,100,,,,
electricResidentalHeating,,HU,HU,capaConvResi,100,,,,
electricResidentalHeating,,IE,IE,capaConvResi,100,,,,
electricResidentalHeating,,IT,IT,capaConvResi,100,,,,
electricResidentalHeating,,LU,LU,capaConvResi,100,,,,
electricResidentalHeating,,NL,NL,capaConvResi,100,,,,
electricResidentalHeating,,NO,NO,capaConvResi,100,,,,
electricResidentalHeating,,PL,PL,capaConvResi,100,,,,
electricResidentalHeating,,PT,PT,capaConvResi,100,,,,
electricResidentalHeating,,RO,RO,capaConvResi,100,,,,
electricResidentalHeating,,SE,SE,capaConvResi,100,,,,
electricResidentalHeating,,SI,SI,capaConvResi,100,,,,
electricResidentalHeating,,SK,SK,capaConvResi,100,,,,
electricResidentalHeating,,UK,UK,capaConvResi,100,,,,
electricResidentalHeating,,EE,EE,capaConvResi,100,,,,
electricResidentalHeating,,LT,LT,capaConvResi,100,,,,
electricResidentalHeating,,LV,LV,capaConvResi,100,,,,
electricResidentalHeating,,NONEU_Balkan,NONEU_Balkan,capaConvResi,100,,,,
electricResidentalHeating,,TR,TR,capaConvResi,100,,,,
electricIndustryHeating,,AT,AT,capaConvResi,100,,,,
electricIndustryHeating,,BE,BE,capaConvResi,100,,,,
electricIndustryHeating,,BG,BG,capaConvResi,100,,,,
electricIndustryHeating,,CH,CH,capaConvResi,100,,,,
electricIndustryHeating,,CZ,CZ,capaConvResi,100,,,,
electricIndustryHeating,,DK,DK,capaConvResi,100,,,,
electricIndustryHeating,,ES,ES,capaConvResi,100,,,,
electricIndustryHeating,,FI,FI,capaConvResi,100,,,,
electricIndustryHeating,,FR,FR,capaConvResi,100,,,,
electricIndustryHeating,,GR,GR,capaConvResi,100,,,,
electricIndustryHeating,,HR,HR,capaConvResi,100,,,,
electricIndustryHeating,,HU,HU,capaConvResi,100,,,,
electricIndustryHeating,,IE,IE,capaConvResi,100,,,,
electricIndustryHeating,,IT,IT,capaConvResi,100,,,,
electricIndustryHeating,,LU,LU,capaConvResi,100,,,,
electricIndustryHeating,,NL,NL,capaConvResi,100,,,,
electricIndustryHeating,,NO,NO,capaConvResi,100,,,,
electricIndustryHeating,,PL,PL,capaConvResi,100,,,,
electricIndustryHeating,,PT,PT,capaConvResi,100,,,,
electricIndustryHeating,,RO,RO,capaConvResi,100,,,,
electricIndustryHeating,,SE,SE,capaConvResi,100,,,,
electricIndustryHeating,,SI,SI,capaConvResi,100,,,,
electricIndustryHeating,,SK,SK,capaConvResi,100,,,,
electricIndustryHeating,,UK,UK,capaConvResi,100,,,,
electricIndustryHeating,,EE,EE,capaConvResi,100,,,,
electricIndustryHeating,,LT,LT,capaConvResi,100,,,,
electricIndustryHeating,,LV,LV,capaConvResi,100,,,,
electricIndustryHeating,,NONEU_Balkan,NONEU_Balkan,capaConvResi,100,,,,
electricIndustryHeating,,TR,TR,capaConvResi,100,,,,
